ID,Бренд,Название,Перевод,Линейка,Позиция,Рейтинг,Крепость,Изображение,Отзывы,Состав,
93391,Black Burn,Cane Mint,Тростниковая мята,Основная,1,"4,6",Средняя,https://htreviews.org/uploads/objects/0/d234a19d52520e43bbb52b94ef767bed725bff85.webp,"Приятная, сладкая мята, я бы даже сказал, что это мятная жвачка. В соло не знаю, не хочется. Но в миксы отлично залетает. Очень удобный и приятный инструмент.",Мята,"<b>
Бренд</b>: Black Burn<b>
Название</b>: Cane Mint(Тростниковая мята)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Мята<b>
Рейтинг</b>: 4,6<b>
-------------
Отзыв:</b> Приятная, сладкая мята, я бы даже сказал, что это мятная жвачка. В соло не знаю, не хочется. Но в миксы отлично залетает. Очень удобный и приятный инструмент."
196508,Black Burn,Peach Yogurt,Персиковый йогурт,Основная,2,"4,5",Средняя,https://htreviews.org/uploads/objects/3/4dbb068d1ddf25fc2392de9264d2b236.webp,"Что ещё про это чудо сказать, хорошая йогуртная составляющая,сливочно,насыщенно,персик сладенький","Персик, Йогурт","<b>
Бренд</b>: Black Burn<b>
Название</b>: Peach Yogurt(Персиковый йогурт)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Персик, Йогурт<b>
Рейтинг</b>: 4,5<b>
-------------
Отзыв:</b> Что ещё про это чудо сказать, хорошая йогуртная составляющая,сливочно,насыщенно,персик сладенький"
93363,Black Burn,Lemon Sweets,Лимонные леденцы,Основная,3,"4,5",Средняя,https://htreviews.org/uploads/objects/0/1f72b2b389bcda9382f1675cc81b25db5129f68d.webp,"Ну мне очень понравилось
Вот ни дать не взять лимонные конфетки. Вкус насыщенный, хорошо прослеживается и сам, в целом сладкий, но имеющий легкую легкую кислинку лимон, так и леденцовость что ли) Оболочка самих конфет тоже имеет какой то вкус в моем понимании и тут чувствуется ее вкус, что круто. Химозы я не почувствовал, вкус вполне натуральный.
По крепости, мягкости и времени самого покура вопросов 0
Пару раз мешал с елками от самого бб, добавляя около 30% и тоже все очень вкусно. Мне показалось, что елки забирают чуть чуть сладости и кислинки, добавляя легкой свежести, не перебивая яркость лимонных конфеток, что прям крутяк.
Короче советую, я в восторге!!","Лимон, Мармелад","<b>
Бренд</b>: Black Burn<b>
Название</b>: Lemon Sweets(Лимонные леденцы)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Лимон, Мармелад<b>
Рейтинг</b>: 4,5<b>
-------------
Отзыв:</b> Ну мне очень понравилось
Вот ни дать не взять лимонные конфетки. Вкус насыщенный, хорошо прослеживается и сам, в целом сладкий, но имеющий легкую легкую кислинку лимон, так и леденцовость что ли) Оболочка самих конфет тоже имеет какой то вкус в моем понимании и тут чувствуется ее вкус, что круто. Химозы я не почувствовал, вкус вполне натуральный.
По крепости, мягкости и времени самого покура вопросов 0
Пару раз мешал с елками от самого бб, добавляя около 30% и тоже все очень вкусно. Мне показалось, что елки забирают чуть чуть сладости и кислинки, добавляя легкой свежести, не перебивая яркость лимонных конфеток, что прям крутяк.
Короче советую, я в восторге!!"
195634,Black Burn,Basilic,Базилик,Основная,4,"4,5",Средняя,https://htreviews.org/uploads/objects/2/cce360116bb9eb92a008cf0b55b6889b.webp,"Один из любимых инструментов для миксов. Добавляет свежести и специевости. Миксуется практически с чем угодно, но мои фавориты - это свежие напиточные миксы, например, с лимоном/лаймом, джином и огурцом",Базилик,"<b>
Бренд</b>: Black Burn<b>
Название</b>: Basilic(Базилик)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Базилик<b>
Рейтинг</b>: 4,5<b>
-------------
Отзыв:</b> Один из любимых инструментов для миксов. Добавляет свежести и специевости. Миксуется практически с чем угодно, но мои фавориты - это свежие напиточные миксы, например, с лимоном/лаймом, джином и огурцом"
93821,Black Burn,Green Tea,Зелёный чай,Основная,5,"4,4",Средняя,https://htreviews.org/uploads/objects/0/2dd8b5c6cc4b6c976fd709578c747b46ba25551b.webp,"Эталонная чайная основа для миксов. Это именно заваренный зеленый чай, а не сладкий холодный чай из бутылки. Вкус умеренный, не перетягивает одеяло на себя. Можно миксовать и с ягодами, и с цитрусами, и со сладкими фруктами, и с мёдом, и со специями, очень универсальный инструмент для любителей чайной тематики",Зеленый чай,"<b>
Бренд</b>: Black Burn<b>
Название</b>: Green Tea(Зелёный чай)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Зеленый чай<b>
Рейтинг</b>: 4,4<b>
-------------
Отзыв:</b> Эталонная чайная основа для миксов. Это именно заваренный зеленый чай, а не сладкий холодный чай из бутылки. Вкус умеренный, не перетягивает одеяло на себя. Можно миксовать и с ягодами, и с цитрусами, и со сладкими фруктами, и с мёдом, и со специями, очень универсальный инструмент для любителей чайной тематики"
93361,Black Burn,Black Honey,Черный мед,Основная,6,"4,4",Средняя,https://htreviews.org/uploads/objects/0/e500587acb3cadb3acf62c1fe6a62ed568ab9312.webp,"Нормальный мед, не особо яркий, но в чайные/цитрусовые/десертные миксы должен неплохо зайти","Цветочный, Мёд","<b>
Бренд</b>: Black Burn<b>
Название</b>: Black Honey(Черный мед)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Цветочный, Мёд<b>
Рейтинг</b>: 4,4<b>
-------------
Отзыв:</b> Нормальный мед, не особо яркий, но в чайные/цитрусовые/десертные миксы должен неплохо зайти"
195631,Black Burn,Elka,Ёлка,Основная,7,"4,4",Средняя,https://htreviews.org/uploads/objects/2/b333cef44202fd790de1be8fc23912c0.webp,"Хотелось какой-то уж очень невероятной хвойности тут увидеть, но увы. Что-то неяркое, непонятное и определенно не хвойное. Пока очень сложно сказать буду ли делать вторую попытку покурить этот аромат.",Хвойный,"<b>
Бренд</b>: Black Burn<b>
Название</b>: Elka(Ёлка)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Хвойный<b>
Рейтинг</b>: 4,4<b>
-------------
Отзыв:</b> Хотелось какой-то уж очень невероятной хвойности тут увидеть, но увы. Что-то неяркое, непонятное и определенно не хвойное. Пока очень сложно сказать буду ли делать вторую попытку покурить этот аромат."
93353,Black Burn,Haribon,Харибон,Основная,8,"4,2",Средняя,https://htreviews.org/uploads/objects/0/1ca0b95bc166ec7a23d7b2b7d511c84be0a674f9.webp,"что-то непончтное. очень сильно мылит, больше отдает колой. как таковой желейности, мармеладности тут не почувствовала 🤷🏿",Кола,"<b>
Бренд</b>: Black Burn<b>
Название</b>: Haribon(Харибон)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Кола<b>
Рейтинг</b>: 4,2<b>
-------------
Отзыв:</b> что-то непончтное. очень сильно мылит, больше отдает колой. как таковой желейности, мармеладности тут не почувствовала 🤷🏿"
93355,Black Burn,Raspberries,Малина,Основная,9,"4,2",Средняя,https://htreviews.org/uploads/objects/0/fe481b11e032e31846666b1dea3f19f4e26ea8d8.webp,"Наконец-то добрался до этой малины, хотя ей уже далеко не первый год.
По большей мере писать-то и ничего, это достаточно натуральная малина, с приятной сладостью и лёгкой кислинкой, но насыщенность ароматики оставляет желать лучшего, ибо курение в соло хорошее, но в миксах боюсь, что она может затеряться, если не класть её больше.
А так достаточно приятный вкус, понравился намного больше, чем их же шок-малина, посему рекомендую, кто любит малину с закосом под натуральную ягоду с кислинкой, а не джем.

P.S. 100-ка от 27.08.2024
P.S.S. пробовал как и всегда на: MattPear Mini S, турка BlackBurn, пушисто с отступом, НГ 2-ая, 4-е 25-ых на 5 минут, а потом поставил пирамидкой",Малина,"<b>
Бренд</b>: Black Burn<b>
Название</b>: Raspberries(Малина)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Малина<b>
Рейтинг</b>: 4,2<b>
-------------
Отзыв:</b> Наконец-то добрался до этой малины, хотя ей уже далеко не первый год.
По большей мере писать-то и ничего, это достаточно натуральная малина, с приятной сладостью и лёгкой кислинкой, но насыщенность ароматики оставляет желать лучшего, ибо курение в соло хорошее, но в миксах боюсь, что она может затеряться, если не класть её больше.
А так достаточно приятный вкус, понравился намного больше, чем их же шок-малина, посему рекомендую, кто любит малину с закосом под натуральную ягоду с кислинкой, а не джем.

P.S. 100-ка от 27.08.2024
P.S.S. пробовал как и всегда на: MattPear Mini S, турка BlackBurn, пушисто с отступом, НГ 2-ая, 4-е 25-ых на 5 минут, а потом поставил пирамидкой"
93365,Black Burn,Yellow Melon,Желтая дыня,Основная,10,"4,2",Средняя,https://htreviews.org/uploads/objects/0/d88407d688a1f4ae00a75f96065c19fc111f5cf3.webp,"Довольно хорошая дыня. Во вкусе четко ощущается как мед, так и дыня, немного присутствует травянистый оттенок. В соло скучновато, а вот в миксах просто бомба.",Дыня,"<b>
Бренд</b>: Black Burn<b>
Название</b>: Yellow Melon(Желтая дыня)<b>
Линейка</b>: Основная<b>
Крепость</b>: Средняя<b>
Состав</b>: Дыня<b>
Рейтинг</b>: 4,2<b>
-------------
Отзыв:</b> Довольно хорошая дыня. Во вкусе четко ощущается как мед, так и дыня, немного присутствует травянистый оттенок. В соло скучновато, а вот в миксах просто бомба."
